127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-form-element-behavior/iron-form-element-behavior.html HTTP/1.1" 200 2298
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-behavior.html HTTP/1.1" 200 12167
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-error.html HTTP/1.1" 200 2257
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-container.html HTTP/1.1" 200 18629
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-char-counter.html HTTP/1.1" 200 2280
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-image/iron-image.html HTTP/1.1" 200 11546
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-selector.html HTTP/1.1" 200 1972
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-media-query/iron-media-query.html HTTP/1.1" 200 2713
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-styles/default-theme.html HTTP/1.1" 200 2716
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-resizable-behavior/iron-resizable-behavior.html HTTP/1.1" 200 6218
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-styles/shadow.html HTTP/1.1" 200 2029
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/polymer/polymer-mini.html HTTP/1.1" 200 47927
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-material/paper-material-shared-styles.html HTTP/1.1" 200 1102
