127.0.0.1 - - [23/Aug/2017:08:25:22 +0300] "GET / HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-material/paper-material.html HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-styles/default-theme.html HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-behaviors/paper-button-behavior.html HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-ripple/paper-ripple.html HTTP/1.1" 200 20217
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-behavior.html HTTP/1.1" 200 12167
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-container.html HTTP/1.1" 200 18629
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-error.html HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-char-counter.html HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-multi-selectable.html HTTP/1.1" 200 3310
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-form-element-behavior/iron-form-element-behavior.html HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/polymer/polymer.html HTTP/1.1" 200 117940
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-input/iron-input.html HTTP/1.1" 200 7782
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-material/paper-material-shared-styles.html HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-styles/shadow.html HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-behaviors/iron-button-state.html HTTP/1.1" 200 6047
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-styles/paper-styles.html HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-behaviors/paper-ripple-behavior.html HTTP/1.1" 200 4074
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-addon-behavior.html HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-behaviors/iron-control-state.html HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-selectable.html HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/polymer/polymer-mini.html HTTP/1.1" 200 47927
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-validatable-behavior/iron-validatable-behavior.html HTTP/1.1" 200 4118
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-flex-layout/classes/iron-flex-layout.html HTTP/1.1" 200 5235
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-styles/color.html HTTP/1.1" 200 10366
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-styles/typography.html HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-selection.html HTTP/1.1" 200 3273
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-meta/iron-meta.html HTTP/1.1" 200 8401
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-flex-layout/classes/iron-shadow-flex-layout.html HTTP/1.1" 200 5755
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/polymer/polymer-micro.html HTTP/1.1" 200 17097
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/SoaArchiveClient/bower_components/font-roboto/roboto.html HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:30 +0300] "GET /archive/images/menoraLogo.png HTTP/1.1" 200 4245
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:25:32 +0300] "POST /archive/j_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:32 +0300] "GET /archive/ HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:32 +0300] "GET /archive/dataTables.checkboxes.min.js HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:32 +0300] "GET /archive/datatables.js HTTP/1.1" 200 447609
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:32 +0300] "GET /archive/moment.min.js HTTP/1.1" 200 33783
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:32 +0300] "GET /archive/dataTables.material.min.js HTTP/1.1" 200 2099
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:32 +0300] "GET /archive/datetime-moment.js HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:32 +0300] "GET /archive/jquery-1.12.4.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:32 +0300] "GET /archive/SoaArchiveClient/SoaArchiveClient.nocache.js HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:32 +0300] "GET /archive/file-size.js HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:32 +0300] "GET /archive/shared-styles.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:38 +0300] "GET /archive/material.min.css HTTP/1.1" 200 135652
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:38 +0300] "GET /archive/dataTables.checkboxes.css HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:38 +0300] "GET /archive/dataTables.material.min.css HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:40 +0300] "POST /archive/SoaArchiveService HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:44 +0300] "POST /archive/rest/soaarchive/incoming HTTP/1.1" 200 513960
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:46 +0300] "GET /archive/images/info.png HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:46 +0300] "GET /archive/images/xml.png HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:25:46 +0300] "GET /archive/images/error.png HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/ HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/jquery-1.11.2/jquery-1.11.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-button/paper-button.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-card/paper-card.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-flex-layout/iron-flex-layout.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-drawer-panel/paper-drawer-panel.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-a11y-keys/iron-a11y-keys.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-a11y-keys-behavior/iron-a11y-keys-behavior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:06 +0300] "GET /archive/shared-styles.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/polymer/polymer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-material/paper-material.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-ripple/paper-ripple.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-behaviors/paper-button-behavior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-image/iron-image.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-styles/default-theme.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-media-query/iron-media-query.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-selector.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-resizable-behavior/iron-resizable-behavior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-input/iron-input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-behavior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-form-element-behavior/iron-form-element-behavior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-container.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-error.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-char-counter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/polymer/polymer-mini.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-styles/shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-material/paper-material-shared-styles.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-behaviors/iron-button-state.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-behaviors/paper-ripple-behavior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-multi-selectable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-behaviors/iron-control-state.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-validatable-behavior/iron-validatable-behavior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/polymer/polymer-micro.html HTTP/1.1" 304 -
